SMILES,name,canvasUID,Source File,Source File Index,Molecular weight
COC(=O)c1cc(on1)-c(c2)ccc(c23)O[C@H](C)C3,ZINC26421059,148,Ambinter.sdf,148,259.26401
[O-]C(=O)c1cc(on1)-c(c2)ccc(c23)O[C@H](C)C3,ZINC26421097,149,Ambinter.sdf,149,244.22895
[O-]C(=O)c1cc(on1)-c(c2)ccc(c23)O[C@@H](C)C3,ZINC26421101,150,Ambinter.sdf,150,244.22895
[O-]C(=O)c1cc(on1)-c2cc(F)c(F)cc2,ZINC26423744,151,Ambinter.sdf,151,224.14508
CCOC(=O)c1cc(on1)-c(cc2)ccc2C,ZINC26547653,153,Ambinter.sdf,153,231.25346
c1cccc(OC)c1OC(=O)c2cc(on2)-c3ccccc3,ZINC27583698,154,Ambinter.sdf,154,295.29746
[O-]C(=O)c1cc(on1)-c(cc2)cc(F)c2C,ZINC27994413,155,Ambinter.sdf,155,220.18174
[O-]C(=O)c1cc(on1)-c2cc(c(cc2)OC)S(=O)(=O)N3CCOCC3,ZINC32917832,156,Ambinter.sdf,156,367.36
[O-]C(=O)c1cc(on1)-c2cc(c(cc2)OC)S(=O)(=O)N3CCCC3,ZINC32917858,157,Ambinter.sdf,157,351.3606
O1COc(c12)ccc(c2)C(=O)COC(=O)c3cc(on3)-c4c(Cl)cccc4,ZINC32936214,158,Ambinter.sdf,158,385.76359
[O-]C(=O)c1noc(c12)c3c(C2)cc(OC)c(c3)OC,ZINC36154898,159,Ambinter.sdf,159,260.22835
n1oc(C)cc1COC(=O)c2cc(on2)-c3ccccc3,ZINC36662542,160,Ambinter.sdf,160,284.27389
COC(=O)c1cc(on1)-c2ccc(cc2)-c3ccccc3,ZINC38486275,161,Ambinter.sdf,161,279.29806
c1ccccc1-c(on2)cc2C(=O)OCc3cc(on3)-c(c4)ccc(c45)OCCO5,ZINC38757730,162,Ambinter.sdf,162,404.38262
c1ccccc1-c(on2)cc2C(=O)OCc3cc(on3)-c4ccccc4,ZINC38758145,163,Ambinter.sdf,163,346.34558
c1ccccc1-c(on2)cc2C(=O)OCc3cc(on3)-c4ccc(F)cc4,ZINC38765919,164,Ambinter.sdf,164,364.33601
c1ccccc1-c(on2)cc2C(=O)OCc3cc(on3)-c4cc(OC)ccc4,ZINC38766203,165,Ambinter.sdf,165,376.37207
c1ccccc1-c(on2)cc2C(=O)OCc3cc(on3)-c4ccc(cc4)OC,ZINC38766477,166,Ambinter.sdf,166,376.37207
c1ccccc1-c(on2)cc2C(=O)OCc3cc(on3)-c4cccs4,ZINC38766973,167,Ambinter.sdf,167,352.37134
c1ccccc1-c(on2)cc2C(=O)OCc3cc(on3)-c4c(F)cc(F)cc4,ZINC38767105,168,Ambinter.sdf,168,382.32644
c1ccccc1-c(on2)cc2C(=O)OCc3cc(on3)-c4c(F)cccc4,ZINC38767369,169,Ambinter.sdf,169,364.33601
c1ccccc1-c(on2)cc2C(=O)OCc3cc(on3)-c4ccco4,ZINC38767588,170,Ambinter.sdf,170,336.30674
c1ccccc1-c(on2)cc2C(=O)OCc3cc(on3)-c(c4)ccc(c45)OCO5,ZINC38768126,171,Ambinter.sdf,171,390.35553
[O-]C(=O)c1noc(c12)c3c(CC2)cccc3,ZINC39286960,172,Ambinter.sdf,172,214.20246
[O-]C(=O)c1cc(on1)-c(c2)c(Br)cc(c23)OCCCO3,ZINC39286978,173,Ambinter.sdf,173,339.12938
CC(=O)Nc1ccc(cc1)OC(=O)c2cc(on2)-c3ccccc3,ZINC40012171,174,Ambinter.sdf,174,322.32328
[O-]C(=O)c1noc(c12)c3c(OC2)cccc3,ZINC41229457,175,Ambinter.sdf,175,216.17477
[O-]C(=O)c1noc(c12)c3c(OC2)ccc(F)c3,ZINC41264994,176,Ambinter.sdf,176,234.1652
[O-]C(=O)c1cc(on1)-c2ccc(cc2)OCCCC,ZINC41350456,177,Ambinter.sdf,177,260.27198
[O-]C(=O)c1noc(c12)c3c(SC2)cccc3,ZINC49453734,178,Ambinter.sdf,178,232.23937
[O-]C(=O)c1noc(c12)c3c(SC2)ccc(C)c3,ZINC49453735,179,Ambinter.sdf,179,246.26646
[O-]C(=O)c1noc(c12)c3c(SC2)ccc(c3)OC,ZINC49453736,180,Ambinter.sdf,180,262.26586
[O-]C(=O)c1noc(c12)c3c(SC2)ccc(c3)CC,ZINC49453737,181,Ambinter.sdf,181,260.29355
[O-]C(=O)c1noc(c12)c3c(SC2)ccc(c3)C(C)C,ZINC49453738,182,Ambinter.sdf,182,274.32064
[O-]C(=O)c1noc(c12)c3c(SC2)ccc(F)c3,ZINC49453739,183,Ambinter.sdf,183,250.2298
O1CCN(C1=O)c2ccc(cc2)OC(=O)c3cc(on3)-c4cc(Cl)ccc4,ZINC52338293,184,Ambinter.sdf,184,384.77886
n1c(Cl)ccc(Cl)c1COC(=O)c2cc(on2)-c3c(OC)ccc(c3)OC,ZINC65568454,185,Ambinter.sdf,185,409.22868
CCOC(=O)c1cc(on1)-c2c(Cl)cc(Cl)cc2,ZINC85221491,186,Ambinter.sdf,186,286.11643
CCOC(=O)c1cc(on1)-c(cc2)ccc2C(F)(F)F,ZINC85221496,187,Ambinter.sdf,187,285.22475
